geoid,name,population_e,white_e,black_e,asian_e,amind_e,hawpi_e,latino_e,medhhincome_e,inpoverty_e,fullname,shortname
41740,San Diego-Chula Vista-Carlsbad,3338330,1495234,156423,394644,12301,12648,1140033,83985,333862,"San Diego-Chula Vista-Carlsbad, CA Metro Area",San Diego
41860,San Francisco-Oakland-Berkeley,4731803,1827248,341500,1269163,11524,29935,1033922,114696,380982,"San Francisco-Oakland-Berkeley, CA Metro Area",San Francisco
41940,San Jose-Sunnyvale-Santa Clara,1990660,607034,46665,726115,3657,6763,520512,130865,123477,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",San Jose
42660,Seattle-Tacoma-Bellevue,3979845,2453681,233991,578873,30172,30954,412836,94027,305079,"Seattle-Tacoma-Bellevue, WA Metro Area",Seattle
44060,Spokane-Spokane Valley,568521,478111,10973,12200,9133,3464,33596,59646,73074,"Spokane-Spokane Valley, WA Metro Area",Spokane
44140,Springfield,697382,483119,37479,21185,828,289,135189,62346,83122,"Springfield, MA Metro Area",Springfield
44700,Stockton,762148,231286,50665,120669,2254,4944,320334,68997,101591,"Stockton, CA Metro Area",Stockton
45060,Syracuse,648593,527250,52053,18889,2737,14,28263,61213,85841,"Syracuse, NY Metro Area",Syracuse
45300,Tampa-St. Petersburg-Clearwater,3194831,1960618,370765,108973,5876,1980,656696,57906,389600,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Tampa
45780,Toledo,641816,482276,83540,10156,1504,827,44860,53563,95628,"Toledo, OH Metro Area",Toledo
46060,Tucson,1047279,535435,35055,28844,25427,1599,395446,56169,140703,"Tucson, AZ Metro Area",Tucson
46140,Tulsa,998655,640921,77246,26297,74378,811,104015,57859,133464,"Tulsa, OK Metro Area",Tulsa
46520,Urban Honolulu,974563,173536,23550,421598,2062,93332,97281,87470,76644,"Urban Honolulu, HI Metro Area",Honolulu
47260,Virginia Beach-Norfolk-Newport News,1765031,963018,531398,69659,2003,1255,126008,69329,180581,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",Virginia Beach
47900,Washington-Arlington-Alexandria,6280697,2806870,1563337,645564,14854,2887,1021386,105659,465533,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Washington
48620,Wichita,640218,455345,45802,23534,3575,122,85817,59779,73089,"Wichita, KS Metro Area",Wichita
49180,Winston-Salem,676008,456532,120075,11655,2328,185,72231,52322,105816,"Winston-Salem, NC Metro Area",Winston-Salem
49340,Worcester,947404,716065,40788,43894,1355,340,115630,76348,89286,"Worcester, MA-CT Metro Area",Worcester
